Nome: VALENCA DO PIAUI
Codigo Estacao: A363
Latitude: -6.4236111
Longitude: -41.74888888
Altitude: 372
Situacao: Operante
Data Inicial: 2025-07-22
Data Final: 2026-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2025-07-22;0;null;null;null;null;22,1;null;null;null;null;
2025-07-23;null;null;null;null;null;null;null;null;null;null;
2025-07-24;null;null;null;null;null;null;null;null;null;null;
2025-07-25;null;null;null;null;null;null;null;null;null;null;
2025-07-26;null;null;null;null;null;null;null;null;null;null;
2025-07-27;null;null;null;null;null;null;null;null;null;null;
2025-07-28;null;null;null;null;null;null;null;null;null;null;
2025-07-29;null;null;null;null;null;null;null;null;null;null;
2025-07-30;null;null;null;null;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;null;null;null;null;
2025-08-01;null;null;null;null;null;null;null;null;null;null;
2025-08-02;null;null;null;null;null;null;null;null;null;null;
2025-08-03;null;null;null;null;null;null;null;null;null;null;
2025-08-04;null;null;null;null;null;null;null;null;null;null;
2025-08-05;null;null;null;null;null;null;null;null;null;null;
2025-08-06;null;null;null;null;null;null;null;null;null;null;
2025-08-07;null;null;null;null;null;null;null;null;null;null;
2025-08-08;null;null;null;null;null;null;null;null;null;null;
2025-08-09;null;null;null;null;null;null;null;null;null;null;
2025-08-10;null;null;null;null;null;null;null;null;null;null;
2025-08-11;null;null;null;null;null;null;null;null;null;null;
2025-08-12;null;null;null;null;null;null;null;null;null;null;
2025-08-13;null;null;null;null;null;null;null;null;null;null;
2025-08-14;null;null;null;null;null;null;null;null;null;null;
2025-08-15;null;null;null;null;null;null;null;null;null;null;
2025-08-16;null;null;null;null;null;null;null;null;null;null;
2025-08-17;null;null;null;null;null;null;null;null;null;null;
2025-08-18;null;null;null;null;null;null;null;null;null;null;
2025-08-19;null;null;null;null;null;null;null;null;null;null;
2025-08-20;null;null;null;null;null;null;null;null;null;null;
2025-08-21;null;null;null;null;null;null;null;null;null;null;
2025-08-22;null;null;null;null;null;null;null;null;null;null;
2025-08-23;null;null;null;null;null;null;null;null;null;null;
2025-08-24;null;null;null;null;null;null;null;null;null;null;
2025-08-25;null;null;null;null;null;null;null;null;null;null;
2025-08-26;null;null;null;null;null;null;null;null;null;null;
2025-08-27;null;null;null;null;null;null;null;null;null;null;
2025-08-28;null;null;null;null;null;null;null;null;null;null;
2025-08-29;null;null;null;null;null;null;null;null;null;null;
2025-08-30;null;null;null;null;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;null;null;null;null;
2025-09-01;null;null;null;null;null;null;null;null;null;null;
2025-09-02;null;null;null;null;null;null;null;null;null;null;
2025-09-03;null;null;null;null;null;null;null;null;null;null;
2025-09-04;null;null;null;null;null;null;null;null;null;null;
2025-09-05;null;null;null;null;null;null;null;null;null;null;
2025-09-06;null;null;null;null;null;null;null;null;null;null;
2025-09-07;null;null;null;null;null;null;null;null;null;null;
2025-09-08;null;null;null;null;null;null;null;null;null;null;
2025-09-09;null;null;null;null;null;null;null;null;null;null;
2025-09-10;null;null;null;null;null;null;null;null;null;null;
2025-09-11;null;null;null;null;null;null;null;null;null;null;
2025-09-12;null;null;null;null;null;null;null;null;null;null;
2025-09-13;null;null;null;null;null;null;null;null;null;null;
2025-09-14;null;null;null;null;null;null;null;null;null;null;
2025-09-15;null;null;null;null;null;null;null;null;null;null;
2025-09-16;null;null;null;null;null;null;null;null;null;null;
2025-09-17;null;null;null;null;null;null;null;null;null;null;
2025-09-18;null;null;null;null;null;null;null;null;null;null;
2025-09-19;null;null;null;null;null;null;null;null;null;null;
2025-09-20;null;null;null;null;null;null;null;null;null;null;
2025-09-21;null;null;null;null;null;null;null;null;null;null;
2025-09-22;null;null;null;null;null;null;null;null;null;null;
2025-09-23;null;null;null;null;null;null;null;null;null;null;
2025-09-24;null;null;null;null;null;null;null;null;null;null;
2025-09-25;null;null;null;null;null;null;null;null;null;null;
2025-09-26;null;null;null;null;null;null;null;null;null;null;
2025-09-27;null;null;null;null;null;null;null;null;null;null;
2025-09-28;null;null;null;null;null;null;null;null;null;null;
2025-09-29;null;null;null;null;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;null;null;null;null;
2025-10-01;null;null;null;null;null;null;null;null;null;null;
2025-10-02;null;null;null;null;null;null;null;null;null;null;
2025-10-03;null;null;null;null;null;null;null;null;null;null;
2025-10-04;null;null;null;null;null;null;null;null;null;null;
2025-10-05;null;null;null;null;null;null;null;null;null;null;
2025-10-06;null;null;null;null;null;null;null;null;null;null;
2025-10-07;null;null;null;null;null;null;null;null;null;null;
2025-10-08;null;null;null;null;null;null;null;null;null;null;
2025-10-09;null;null;null;null;null;null;null;null;null;null;
2025-10-10;null;null;null;null;null;null;null;null;null;null;
2025-10-11;null;null;null;null;null;null;null;null;null;null;
2025-10-12;null;null;null;null;null;null;null;null;null;null;
2025-10-13;null;null;null;null;null;null;null;null;null;null;
2025-10-14;null;null;null;null;null;null;null;null;null;null;
2025-10-15;null;null;null;null;null;null;null;null;null;null;
2025-10-16;null;null;null;null;null;null;null;null;null;null;
2025-10-17;null;null;null;null;null;null;null;null;null;null;
2025-10-18;null;null;null;null;null;null;null;null;null;null;
2025-10-19;null;null;null;null;null;null;null;null;null;null;
2025-10-20;null;null;null;null;null;null;null;null;null;null;
2025-10-21;null;null;null;null;null;null;null;null;null;null;
2025-10-22;null;null;null;null;null;null;null;null;null;null;
2025-10-23;null;null;null;null;null;null;null;null;null;null;
2025-10-24;null;null;null;null;null;null;null;null;null;null;
2025-10-25;null;null;null;null;null;null;null;null;null;null;
2025-10-26;null;null;null;null;null;null;null;null;null;null;
2025-10-27;null;null;null;null;null;null;null;null;null;null;
2025-10-28;null;null;null;null;null;null;null;null;null;null;
2025-10-29;null;null;null;null;null;null;null;null;null;null;
2025-10-30;null;null;null;null;null;null;null;null;null;null;
2025-10-31;null;null;null;null;null;null;null;null;null;null;
2025-11-01;null;null;null;null;null;null;null;null;null;null;
2025-11-02;null;null;null;null;null;null;null;null;null;null;
2025-11-03;null;null;null;null;null;null;null;null;null;null;
2025-11-04;null;null;null;null;null;null;null;null;null;null;
2025-11-05;null;null;null;null;null;null;null;null;null;null;
2025-11-06;null;null;null;null;null;null;null;null;null;null;
2025-11-07;null;null;null;null;null;null;null;null;null;null;
2025-11-08;null;null;null;null;null;null;null;null;null;null;
2025-11-09;null;null;null;null;null;null;null;null;null;null;
2025-11-10;null;null;null;null;null;null;null;null;null;null;
2025-11-11;null;null;null;null;null;null;null;null;null;null;
2025-11-12;null;null;null;null;null;null;null;null;null;null;
2025-11-13;null;null;null;null;null;null;null;null;null;null;
2025-11-14;null;null;null;null;null;null;null;null;null;null;
2025-11-15;null;null;null;null;null;null;null;null;null;null;
2025-11-16;null;null;null;null;null;null;null;null;null;null;
2025-11-17;null;null;null;null;null;null;null;null;null;null;
2025-11-18;null;null;null;null;null;null;null;null;null;null;
2025-11-19;null;null;null;null;null;null;null;null;null;null;
2025-11-20;null;null;null;null;null;null;null;null;null;null;
2025-11-21;null;null;null;null;null;null;null;null;null;null;
2025-11-22;null;null;null;null;null;null;null;null;null;null;
2025-11-23;null;null;null;null;null;null;null;null;null;null;
2025-11-24;null;null;null;null;null;null;null;null;null;null;
2025-11-25;null;null;null;null;null;null;null;null;null;null;
2025-11-26;null;null;null;null;null;null;null;null;null;null;
2025-11-27;null;null;null;null;null;null;null;null;null;null;
2025-11-28;null;null;null;null;null;null;null;null;null;null;
2025-11-29;null;null;null;null;null;null;null;null;null;null;
2025-11-30;null;null;null;null;null;null;null;null;null;null;
2025-12-01;null;null;null;null;null;null;null;null;null;null;
2025-12-02;null;null;null;null;null;null;null;null;null;null;
2025-12-03;null;null;null;null;null;null;null;null;null;null;
2025-12-04;null;null;null;null;null;null;null;null;null;null;
2025-12-05;null;null;null;null;null;null;null;null;null;null;
2025-12-06;null;null;null;null;null;null;null;null;null;null;
2025-12-07;null;null;null;null;null;null;null;null;null;null;
2025-12-08;null;null;null;null;null;null;null;null;null;null;
2025-12-09;null;null;null;null;null;null;null;null;null;null;
2025-12-10;null;null;null;null;null;null;null;null;null;null;
2025-12-11;null;null;null;null;null;null;null;null;null;null;
2025-12-12;null;null;null;null;null;null;null;null;null;null;
2025-12-13;null;null;null;null;null;null;null;null;null;null;
2025-12-14;null;null;null;null;null;null;null;null;null;null;
2025-12-15;null;null;null;null;null;null;null;null;null;null;
2025-12-16;null;null;null;null;null;null;null;null;null;null;
2025-12-17;null;null;null;null;null;null;null;null;null;null;
2025-12-18;null;null;null;null;null;null;null;null;null;null;
2025-12-19;null;null;null;null;null;null;null;null;null;null;
2025-12-20;null;null;null;null;null;null;null;null;null;null;
2025-12-21;null;null;null;null;null;null;null;null;null;null;
2025-12-22;null;null;null;null;null;null;null;null;null;null;
2025-12-23;null;null;null;null;null;null;null;null;null;null;
2025-12-24;null;null;null;null;null;null;null;null;null;null;
2025-12-25;null;null;null;null;null;null;null;null;null;null;
2025-12-26;null;null;null;null;null;null;null;null;null;null;
2025-12-27;null;null;null;null;null;null;null;null;null;null;
2025-12-28;null;null;null;null;null;null;null;null;null;null;
2025-12-29;null;null;null;null;null;null;null;null;null;null;
2025-12-30;null;null;null;null;null;null;null;null;null;null;
2025-12-31;null;null;null;null;null;null;null;null;null;null;

